蓋,ㄍㄞˋ,lid / top / cover / canopy / to cover / to conceal / to build,
蓋子,ㄍㄞˋ ㄗ˙,cover / lid / shell,
肝,ㄍㄢ,liver,葉 / 個
乾杯,ㄍㄢ ㄅㄟ,to drink a toast / Cheers! (proposing a toast) / Here's to you! / Bottoms up! / lit. dry cup,
乾脆,ㄍㄢ ㄘㄨㄟˋ,straightforward / clear-cut / blunt (e.g. statement) / you might as well / simply,
趕,ㄍㄢˇ,to overtake / to catch up with / to hurry / to rush / to try to catch (the bus etc) / to drive (cattle etc) forward / to drive (sb) away / to avail oneself of (an opportunity) / until,
趕緊,ㄍㄢˇ ㄐㄧㄣˇ,hurriedly / without delay,
感到,ㄍㄢˇ ㄉㄠˋ,to feel / to sense / to have the feeling that / to think that / to move / to affect,
感恩,ㄍㄢˇ ㄣ,to be grateful,
感激,ㄍㄢˇ ㄐㄧ,to be grateful / to appreciate / thankful,
感情,ㄍㄢˇ ㄑㄧㄥˊ,emotion / sentiment / affection / feelings between two persons,個 / 種
感染,ㄍㄢˇ ㄖㄢˇ,infection / to infect / to influence,
感受,ㄍㄢˇ ㄕㄡˋ,to sense / perception / to feel (through the senses) / to experience / a feeling / an impression / an experience,
感受,ㄍㄢˇ ㄕㄡˋ,to sense / perception / to feel (through the senses) / to experience / a feeling / an impression / an experience,
幹,ㄍㄢˋ,tree trunk / main part of sth / to manage / to work / to do / capable / cadre / to kill (slang) / to fuck (vulgar),
幹部,ㄍㄢˋ ㄅㄨˋ,cadre / official / officer / manager,
幹嘛,ㄍㄢˋ ㄇㄚ˙,what are you doing? / whatever for? / why on earth?,
幹嘛,ㄍㄢˋ ㄇㄚ˙,what are you doing? / whatever for? / why on earth?,
幹什麼,ㄍㄢˋ ㄕㄣˊ ㄇㄜ˙,what are you doing? / what's he up to?,
鋼,ㄍㄤ,steel,
鋼筆,ㄍㄤ ㄅㄧˇ,fountain pen,支
剛好,ㄍㄤ ㄏㄠˇ,just / exactly / to happen to be,
港幣,ㄍㄤˇ ㄅㄧˋ,Hong Kong currency / Hong Kong dollar,
港口,ㄍㄤˇ ㄎㄡˇ,port / harbor,
高潮,ㄍㄠ ㄔㄠˊ,high tide / high water / upsurge / climax / orgasm / chorus (part of a song),
高大,ㄍㄠ ㄉㄚˋ,tall / lofty,
高度,ㄍㄠ ㄉㄨˋ,height / altitude / elevation / high degree / highly,個
高度,ㄍㄠ ㄉㄨˋ,height / altitude / elevation / high degree / highly,個
高峰,ㄍㄠ ㄈㄥ,peak / summit / height,
高貴,ㄍㄠ ㄍㄨㄟˋ,grandeur / noble,
高級,ㄍㄠ ㄐㄧˊ,high level / high grade / advanced / high-ranking,
高明,ㄍㄠ ㄇㄧㄥˊ,brilliant / superior / tall and bright,
高手,ㄍㄠ ㄕㄡˇ,expert / past master / dab hand,
高原,ㄍㄠ ㄩㄢˊ,plateau,片
告,ㄍㄠˋ,to say / to tell / to announce / to report / to denounce / to file a lawsuit / to sue,
告辭,ㄍㄠˋ ㄘˊ,to say goodbye / to take one's leave,
割,ㄍㄜ,to cut / to cut apart,
擱,ㄍㄜ,to bear / to stand / to endure,
歌劇,ㄍㄜ ㄐㄩˋ,Western opera,場 / 齣
隔,ㄍㄜˊ,to separate / to partition / to stand or lie between / at a distance from / after or at an interval of,
革命,ㄍㄜˊ ㄇㄧㄥˋ,revolution / revolutionary (politics),次
各,ㄍㄜˋ,each / every,
各行各業,ㄍㄜˋ ㄏㄤˊ ㄍㄜˋ ㄧㄝˋ,every trade / all professions / all walks of life,
個別,ㄍㄜˋ ㄅㄧㄝˊ,individual / specific / respective / just one or two,
個性,ㄍㄜˋ ㄒㄧㄥˋ,individuality / personality,
根本,ㄍㄣ ㄅㄣˇ,fundamental / basic / root / simply / absolutely (not) / (not) at all,個
根本,ㄍㄣ ㄅㄣˇ,fundamental / basic / root / simply / absolutely (not) / (not) at all,個
根據,ㄍㄣ ㄐㄩˋ,according to / based on / basis / foundation,個
供,ㄍㄨㄥ,sacrificial offering / to confess,
工程,ㄍㄨㄥ ㄔㄥˊ,engineering / an engineering project / project / undertaking,個 / 項
工夫,ㄍㄨㄥ ㄈㄨ˙,"period of time (may be months, or mere seconds) / spare time / skill / labor / effort",
工會,ㄍㄨㄥ ㄏㄨㄟˋ,labor union / trade union,個
工錢,ㄍㄨㄥ ㄑㄧㄢˊ,salary / wages,
工資,ㄍㄨㄥ ㄗ,wages / pay,個 / 份 / 月
公布,ㄍㄨㄥ ㄅㄨˋ,to announce / to make public / to publish,
公佈,ㄍㄨㄥ ㄅㄨˋ,to announce / to make public / to publish,
公公,ㄍㄨㄥ ㄍㄨㄥ˙,husband's father / grandpa / eunuch,
公開,ㄍㄨㄥ ㄎㄞ,public / to publish / to make public,
公立,ㄍㄨㄥ ㄌㄧˋ,"public (e.g. school, hospital)",
公平,ㄍㄨㄥ ㄆㄧㄥˊ,fair / impartial,
公式,ㄍㄨㄥ ㄕˋ,formula,
公用,ㄍㄨㄥ ㄩㄥˋ,public / for public use,
公元,ㄍㄨㄥ ㄩㄢˊ,CE (Common Era) / Christian Era / AD (Anno Domini),
供應,ㄍㄨㄥ ㄧㄥˋ,to supply / to provide / to offer,
共,ㄍㄨㄥˋ,"common / general / to share / together / total / altogether / abbr. for 共產黨产党[Gong4 chan3 dang3], Communist party",
共同,ㄍㄨㄥˋ ㄊㄨㄥˊ,common / joint / jointly / together / collaborative,
構成,ㄍㄡˋ ㄔㄥˊ,to constitute / to form / to compose / to make up / to configure (computing),
構造,ㄍㄡˋ ㄗㄠˋ,structure / composition / tectonic (geology),個
孤單,ㄍㄨ ㄉㄢ,lone / lonely / loneliness,
估計,ㄍㄨ ㄐㄧˋ,to estimate / to reckon / (coll.) to suppose,個
姑姑,ㄍㄨ ㄍㄨ˙,paternal aunt,個
姑丈,ㄍㄨ ㄓㄤˋ,husband of paternal aunt,
古典,ㄍㄨˇ ㄉㄧㄢˇ,classical,
鼓,ㄍㄨˇ,drum / to drum / to strike / to rouse / to bulge / to swell,通 / 面
鼓勵,ㄍㄨˇ ㄌㄧˋ,to encourage,
鼓勵,ㄍㄨˇ ㄌㄧˋ,to encourage,
鼓舞,ㄍㄨˇ ㄨˇ,heartening (news) / to boost (morale),個
鼓掌,ㄍㄨˇ ㄓㄤˇ,to applaud / to clap,
骨頭,ㄍㄨˊ ㄊㄡˊ,bone / moral character / bitterness,根 / 塊
固定,ㄍㄨˋ ㄉㄧㄥˋ,to fix / to fasten / to set rigidly in place / fixed / set / regular,
顧問,ㄍㄨˋ ㄨㄣˋ,adviser / consultant,
故鄉,ㄍㄨˋ ㄒㄧㄤ,home / homeland / native place,個
瓜,ㄍㄨㄚ,melon / gourd / squash,
瓜子,ㄍㄨㄚ ㄗˇ,"melon seed / seeds of pumpkin, watermelon or sunflower etc, roasted and flavored, consumed as a snack",
掛號信,ㄍㄨㄚˋ ㄏㄠˋ ㄒㄧㄣˋ,registered letter,
怪,ㄍㄨㄞˋ,bewildering / odd / strange / uncanny / devil / monster / to wonder at / to blame / quite / rather,
官方,ㄍㄨㄢ ㄈㄤ,government / official (approved or issued by an authority),
官員,ㄍㄨㄢ ㄩㄢˊ,official (in an organization or government) / administrator,
關,ㄍㄨㄢ,mountain pass / to close / to shut / to turn off / to concern / to involve,
關鍵,ㄍㄨㄢ ㄐㄧㄢˋ,crucial point / crux / key / crucial / pivotal,個
關上,ㄍㄨㄢ ㄕㄤˋ,"to close (a door) / to turn off (light, electrical equipment etc)",
關於,ㄍㄨㄢ ㄩˊ,pertaining to / concerning / with regard to / about / a matter of,
觀光,ㄍㄨㄢ ㄍㄨㄤ,to tour / sightseeing / tourism,
管道,ㄍㄨㄢˇ ㄉㄠˋ,tubing / pipeline / (fig.) channel / means,
管制,ㄍㄨㄢˇ ㄓˋ,to control / to restrict / (PRC law) non-custodial sentence with specified restrictions on one's activities for up to 3 years (e.g. not to participate in demonstrations),
慣,ㄍㄨㄢˋ,accustomed to / used to / indulge / to spoil (a child),
慣例,ㄍㄨㄢˋ ㄌㄧˋ,convention / usual practice,
冠軍,ㄍㄨㄢˋ ㄐㄩㄣ,champion,個
罐頭,ㄍㄨㄢˋ ㄊㄡˊ,tin / can,個
罐子,ㄍㄨㄢˋ ㄗ˙,jar / pitcher / pot,
光,ㄍㄨㄤ,light / ray / bright / only / merely / to use up,道
光,ㄍㄨㄤ,light / ray / bright / only / merely / to use up,道
光亮,ㄍㄨㄤ ㄌㄧㄤˋ,bright,
光臨,ㄍㄨㄤ ㄌㄧㄣˊ,(formal) to honor with one's presence / to attend,
光明,ㄍㄨㄤ ㄇㄧㄥˊ,light / radiance / (fig.) bright (prospects etc) / openhearted,
光榮,ㄍㄨㄤ ㄖㄨㄥˊ,honor and glory / glorious,
光是,ㄍㄨㄤ ㄕˋ,solely / just,
光線,ㄍㄨㄤ ㄒㄧㄢˋ,light ray / light / illumination / lighting (for a photograph),條 / 道
廣,ㄍㄨㄤˇ,wide / numerous / to spread,
廣大,ㄍㄨㄤˇ ㄉㄚˋ,(of an area) vast or extensive / large-scale / widespread / (of people) numerous,
廣泛,ㄍㄨㄤˇ ㄈㄢˋ,extensive / wide range,
廣告,ㄍㄨㄤˇ ㄍㄠˋ,to advertise / a commercial / advertisement,項
廣闊,ㄍㄨㄤˇ ㄎㄨㄛˋ,wide / vast,
規定,ㄍㄨㄟ ㄉㄧㄥˋ,provision / to fix / to set / to formulate / to stipulate / to provide / regulation / rule,個
規定,ㄍㄨㄟ ㄉㄧㄥˋ,provision / to fix / to set / to formulate / to stipulate / to provide / regulation / rule,個
規畫,ㄍㄨㄟ ㄏㄨㄚˋ,to plan (how to do sth) / planning / plan / program,
規劃,ㄍㄨㄟ ㄏㄨㄚˋ,to plan (how to do sth) / planning / plan / program,
規畫,ㄍㄨㄟ ㄏㄨㄚˋ,to plan (how to do sth) / planning / plan / program,
規劃,ㄍㄨㄟ ㄏㄨㄚˋ,to plan (how to do sth) / planning / plan / program,
規律,ㄍㄨㄟ ㄌㄩˋ,rule (e.g. of science) / law of behavior / regular pattern / rhythm / discipline,
規則,ㄍㄨㄟ ㄗㄜˊ,rule / regulation / rules and regulations,
跪,ㄍㄨㄟˋ,to kneel,
櫃臺,ㄍㄨㄟˋ ㄊㄞˊ,variant of 櫃檯台[gui4 tai2],
櫃台,ㄍㄨㄟˋ ㄊㄞˊ,variant of 櫃檯台[gui4 tai2],
貴族,ㄍㄨㄟˋ ㄗㄨˊ,lord / nobility / nobleman / noblewoman / aristocrat / aristocracy,
滾,ㄍㄨㄣˇ,to boil / to roll / to take a hike / Get lost!,
鍋,ㄍㄨㄛ,pot / pan / boiler,口 / 隻
鍋子,ㄍㄨㄛ ㄗ˙,see 鍋[guo1] / see 涮鍋子锅子[shuan4 guo1 zi5] / bowl (of a smoking pipe etc),
國會,ㄍㄨㄛˊ ㄏㄨㄟˋ,Parliament (UK) / Congress (US) / Diet (Japan),
國籍,ㄍㄨㄛˊ ㄐㄧˊ,nationality,
國際,ㄍㄨㄛˊ ㄐㄧˋ,international,
國立,ㄍㄨㄛˊ ㄌㄧˋ,national / state-run / public,
國旗,ㄍㄨㄛˊ ㄑㄧˊ,flag (of a country),面
國小,ㄍㄨㄛˊ ㄒㄧㄠˇ,elementary school (Tw) / abbr. for 國民小學民小学[guo2 min2 xiao3 xue2],
國中,ㄍㄨㄛˊ ㄓㄨㄥ,junior high school (Tw) / abbr. for 國民中學民中学[guo2 min2 zhong1 xue2],
裹,ㄍㄨㄛˇ,to bind / to wrap / a bundle / a parcel,
果然,ㄍㄨㄛˇ ㄖㄢˊ,really / sure enough / as expected / if indeed,
過,ㄍㄨㄛˋ,(experienced action marker),
過程,ㄍㄨㄛˋ ㄔㄥˊ,course of events / process,個
過度,ㄍㄨㄛˋ ㄉㄨˋ,excessive / over- / excess / going too far / extravagant / intemperate / overdue,
過渡,ㄍㄨㄛˋ ㄉㄨˋ,to cross over (by ferry) / transition / interim / caretaker (administration),
過節,ㄍㄨㄛˋ ㄐㄧㄝˊ,to celebrate a festival / after the celebrations (i.e. once the festival is over),
過濾,ㄍㄨㄛˋ ㄌㄩˋ,to filter / filter,
過期,ㄍㄨㄛˋ ㄑㄧˊ,to be overdue / to exceed the time limit / to expire (as in expiration date),
過世,ㄍㄨㄛˋ ㄕˋ,to die / to pass away,
還不如,ㄏㄞˊ ㄅㄨˋ ㄖㄨˊ,to be better off ... / might as well ...,
還有,ㄏㄞˊ ㄧㄡˇ,furthermore / in addition / still / also,
海關,ㄏㄞˇ ㄍㄨㄢ,customs (i.e. border crossing inspection),個
海軍,ㄏㄞˇ ㄐㄩㄣ,navy,
海外,ㄏㄞˇ ㄨㄞˋ,overseas / abroad,
海峽,ㄏㄞˇ ㄒㄧㄚˊ,channel / strait,
海鮮,ㄏㄞˇ ㄒㄧㄢ,seafood,
害處,ㄏㄞˋ ㄔㄨˋ,damage / harm,個
含,ㄏㄢˊ,to keep / to contain / to suck (keep in your mouth without chewing),
含,ㄏㄢˊ,to keep / to contain / to suck (keep in your mouth without chewing),
含量,ㄏㄢˊ ㄌㄧㄤˋ,content / quantity contained,
寒冷,ㄏㄢˊ ㄌㄥˇ,cold (climate) / frigid / very cold,
喊,ㄏㄢˇ,to yell / to shout / to call out for (a person),
汗,ㄏㄢˋ,"perspiration / sweat / to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection)",滴 / 頭 / 身
行業,ㄏㄤˊ ㄧㄝˋ,industry / business,
毫無,ㄏㄠˊ ㄨˊ,not in the least / to completely lack,
好,ㄏㄠˇ,to be fond of / to have a tendency to / to be prone to,
好,ㄏㄠˇ,to be fond of / to have a tendency to / to be prone to,
好在,ㄏㄠˇ ㄗㄞˋ,luckily / fortunately,
耗,ㄏㄠˋ,to waste / to spend / to consume / to squander / news / (coll.) to delay / to dilly-dally,
好客,ㄏㄠˋ ㄎㄜˋ,hospitality / to treat guests well / to enjoy having guests / hospitable / friendly,
好奇,ㄏㄠˋ ㄑㄧˊ,inquisitive / curious / inquisitiveness / curiosity,
號召,ㄏㄠˋ ㄓㄠˋ,to call / to appeal,
合,ㄏㄜˊ,to close / to join / to fit / to be equal to / whole / together / round (in battle) / conjunction (astronomy) / 1st note of pentatonic scale / old variant of 盒[he2],
合,ㄏㄜˊ,to close / to join / to fit / to be equal to / whole / together / round (in battle) / conjunction (astronomy) / 1st note of pentatonic scale / old variant of 盒[he2],
合不來,ㄏㄜˊ ㄅㄨˋ ㄌㄞˊ,unable to get along together / incompatible,
合成,ㄏㄜˊ ㄔㄥˊ,to compose / to constitute / compound / synthesis / mixture / synthetic,
合得來,ㄏㄜˊ ㄉㄜ˙ ㄌㄞˊ,to get along well / compatible / also written 和得來得来[he2 de5 lai2],
合法,ㄏㄜˊ ㄈㄚˇ,lawful / legitimate / legal,
合格,ㄏㄜˊ ㄍㄜˊ,to meet the standard required / qualified / eligible (voter etc),
合乎,ㄏㄜˊ ㄏㄨ,to accord with / conforming to,
合理,ㄏㄜˊ ㄌㄧˇ,rational / reasonable / fair,
合適,ㄏㄜˊ ㄕˋ,suitable / fitting / appropriate,
合算,ㄏㄜˊ ㄙㄨㄢˋ,worthwhile / to be a good deal / to be a bargain / to reckon up / to calculate,
和好,ㄏㄜˊ ㄏㄠˇ,to become reconciled / on good terms with each other,
和平,ㄏㄜˊ ㄆㄧㄥˊ,peace / peaceful,
和氣,ㄏㄜˊ ㄑㄧˋ,friendly / polite / amiable,
何必,ㄏㄜˊ ㄅㄧˋ,there is no need / why should,
何況,ㄏㄜˊ ㄎㄨㄤˋ,let alone / to say nothing of / besides / what's more,
河流,ㄏㄜˊ ㄌㄧㄡˊ,river,條
嘿,ㄏㄟ,hey,
黑暗,ㄏㄟ ㄢˋ,dark / darkly / darkness,
黑夜,ㄏㄟ ㄧㄝˋ,night,
痕跡,ㄏㄣˊ ㄐㄧ,vestige / mark / trace,
恨,ㄏㄣˋ,to hate / to regret,
橫,ㄏㄥˊ,harsh and unreasonable / unexpected,
喉嚨,ㄏㄡˊ ㄌㄨㄥˊ,throat / larynx,
猴子,ㄏㄡˊ ㄗ˙,monkey,隻
後代,ㄏㄡˋ ㄉㄞˋ,descendant / progeny / posterity / later ages / later generations,
後方,ㄏㄡˋ ㄈㄤ,the rear / far behind the front line,
後果,ㄏㄡˋ ㄍㄨㄛˇ,consequences / aftermath,
後悔,ㄏㄡˋ ㄏㄨㄟˇ,to regret / to repent,
後年,ㄏㄡˋ ㄋㄧㄢˊ,the year after next,
後頭,ㄏㄡˋ ㄊㄡˊ,behind / the back / the rear / later / afterwards / (in) the future,
後退,ㄏㄡˋ ㄊㄨㄟˋ,to recoil / to draw back / to fall back / to retreat,
後院,ㄏㄡˋ ㄩㄢˋ,rear court / back garden / backyard (also fig.),
呼,ㄏㄨ,to call / to cry / to shout / to breath out / to exhale,
呼吸,ㄏㄨ ㄒㄧ,to breathe,
忽略,ㄏㄨ ㄌㄩㄝˋ,to neglect / to overlook / to ignore,
忽視,ㄏㄨ ㄕˋ,to neglect / to ignore,
蝴蝶,ㄏㄨˊ ㄉㄧㄝˊ,butterfly,隻
鬍子,ㄏㄨˊ ㄗ˙,beard / mustache or whiskers / facial hair / (coll.) bandit,撮 / 根
戶,ㄏㄨˋ,a household / door / family,
戶外,ㄏㄨˋ ㄨㄞˋ,outdoor,
互助,ㄏㄨˋ ㄓㄨˋ,to help each other,
花草,ㄏㄨㄚ ㄘㄠˇ,flowers and plants,
花費,ㄏㄨㄚ ㄈㄟˋ,expense / cost / to spend (time or money) / expenditure,
花費,ㄏㄨㄚ ㄈㄟˋ,expense / cost / to spend (time or money) / expenditure,
花盆,ㄏㄨㄚ ㄆㄣˊ,flower pot,
花瓶,ㄏㄨㄚ ㄆㄧㄥˊ,flower vase / fig. just a pretty face,對
花色,ㄏㄨㄚ ㄙㄜˋ,variety / design and color / suit (cards),
花生,ㄏㄨㄚ ㄕㄥ,peanut / groundnut,粒
划,ㄏㄨㄚˊ,to row / to paddle / profitable / worth (the effort) / it pays (to do sth),
滑,ㄏㄨㄚˊ,to slip / to slide / smooth / slippery / cunning,
滑,ㄏㄨㄚˊ,to slip / to slide / smooth / slippery / cunning,
華僑,ㄏㄨㄚˊ ㄑㄧㄠˊ,overseas Chinese / (in a restricted sense) Chinese emigrant who still retains Chinese nationality,個 / 位 / 名
華人,ㄏㄨㄚˊ ㄖㄣˊ,ethnic Chinese person or people,
化,ㄏㄨㄚˋ,to make into / to change into / -ization / to ... -ize / to transform / abbr. for 化學学[hua4 xue2],
化,ㄏㄨㄚˋ,to make into / to change into / -ization / to ... -ize / to transform / abbr. for 化學学[hua4 xue2],
化學,ㄏㄨㄚˋ ㄒㄩㄝˊ,chemistry / chemical,
化妝,ㄏㄨㄚˋ ㄓㄨㄤ,to put on makeup,
化裝,ㄏㄨㄚˋ ㄓㄨㄤ,(of actors) to make up / to disguise oneself,
懷念,ㄏㄨㄞˊ ㄋㄧㄢˋ,to cherish the memory of / to think of / reminisce,
懷孕,ㄏㄨㄞˊ ㄩㄣˋ,pregnant / to have conceived / gestation / pregnancy,
壞蛋,ㄏㄨㄞˋ ㄉㄢˋ,bad egg / scoundrel / bastard,
歡呼,ㄏㄨㄢ ㄏㄨ,to cheer for / to acclaim,
歡樂,ㄏㄨㄢ ㄌㄜˋ,gaiety / gladness / glee / merriment / pleasure / happy / joyous / gay,
歡喜,ㄏㄨㄢ ㄒㄧˇ,happy / joyous / delighted / to like / to be fond of,
緩和,ㄏㄨㄢˇ ㄏㄜˊ,to ease (tension) / to alleviate / to moderate / to allay / to make more mild,
緩慢,ㄏㄨㄢˇ ㄇㄢˋ,slow / slow-moving,
幻想,ㄏㄨㄢˋ ㄒㄧㄤˇ,delusion / fantasy,
幻想,ㄏㄨㄢˋ ㄒㄧㄤˇ,delusion / fantasy,
慌,ㄏㄨㄤ,to get panicky / to lose one's head / (coll.) (after 得) unbearably / terribly,
皇帝,ㄏㄨㄤˊ ㄉㄧˋ,emperor,個
黃豆,ㄏㄨㄤˊ ㄉㄡˋ,soybean,
黃昏,ㄏㄨㄤˊ ㄏㄨㄣ,dusk / evening / nightfall,
灰,ㄏㄨㄟ,ash / dust / lime / gray / discouraged / dejected,
灰色,ㄏㄨㄟ ㄙㄜˋ,gray / ash gray / grizzly / pessimistic / gloomy / dispirited / ambiguous,
灰心,ㄏㄨㄟ ㄒㄧㄣ,to lose heart / to be discouraged,
揮,ㄏㄨㄟ,to wave / to brandish / to command / to conduct / to scatter / to disperse,
回,ㄏㄨㄟˊ,to circle / to go back / to turn around / to answer / to return / to revolve / Hui ethnic group (Chinese Muslims) / time / classifier for acts of a play / section or chapter (of a classic book),
回電,ㄏㄨㄟˊ ㄉㄧㄢˋ,to reply to a telegram / to wire back,
回教,ㄏㄨㄟˊ ㄐㄧㄠˋ,Islam,
伊斯蘭教,ㄧ ㄙ ㄌㄢˊ ㄐㄧㄠˋ,Islam,
回收,ㄏㄨㄟˊ ㄕㄡ,to recycle / to reclaim / to retrieve / to recover / to recall (a defective product),
回頭,ㄏㄨㄟˊ ㄊㄡˊ,to turn round / to turn one's head / later / by and by,
回信,ㄏㄨㄟˊ ㄒㄧㄣˋ,to reply / to write back / letter written in reply,封
回憶,ㄏㄨㄟˊ ㄧˋ,to recall / memories,個
匯款,ㄏㄨㄟˋ ㄎㄨㄢˇ,to remit money / remittance,
會員,ㄏㄨㄟˋ ㄩㄢˊ,member,
昏倒,ㄏㄨㄣ ㄉㄠˇ,to faint,
昏迷,ㄏㄨㄣ ㄇㄧˊ,to lose consciousness / to be in a coma / stupor / coma / stunned / disoriented,
混,ㄏㄨㄣˋ,to mix / to mingle / muddled / to drift along / to muddle along / to pass for / to get along with sb / thoughtless / reckless,
混合,ㄏㄨㄣˋ ㄏㄜˊ,to mix / to blend / hybrid / composite,
活該,ㄏㄨㄛˊ ㄍㄞ,(coll.) serve sb right / deservedly / ought / should,
活力,ㄏㄨㄛˊ ㄌㄧˋ,energy / vitality / vigor / vital force,
活潑,ㄏㄨㄛˊ ㄆㄛ,lively / vivacious / brisk / active / (chemistry) reactive,
活躍,ㄏㄨㄛˊ ㄩㄝˋ,active / lively / excited / to enliven / to brighten up,
火柴,ㄏㄨㄛˇ ㄔㄞˊ,match (for lighting fire),根 / 盒
火腿,ㄏㄨㄛˇ ㄊㄨㄟˇ,ham,個
火災,ㄏㄨㄛˇ ㄗㄞ,fire (that burns buildings etc),
禍,ㄏㄨㄛˋ,disaster / misfortune / calamity,
或多或少,ㄏㄨㄛˋ ㄉㄨㄛ ㄏㄨㄛˋ ㄕㄠˇ,more or less,
或者,ㄏㄨㄛˋ ㄓㄜˇ,or / possibly / maybe / perhaps,
貨物,ㄏㄨㄛˋ ㄨˋ,goods / commodity / merchandise,宗
獲得,ㄏㄨㄛˋ ㄉㄜˊ,to obtain / to receive / to get,
肌肉,ㄐㄧ ㄖㄡˋ,muscle / flesh,
基本上,ㄐㄧ ㄅㄣˇ ㄕㄤˋ,basically / on the whole,
基金,ㄐㄧ ㄐㄧㄣ,fund,
幾乎,ㄐㄧ ㄏㄨ,almost / nearly / practically,
機構,ㄐㄧ ㄍㄡˋ,mechanism / structure / organization / agency / institution,所
機關,ㄐㄧ ㄍㄨㄢ,mechanism / gear / machine-operated / office / agency / organ / organization / establishment / institution / body / stratagem / scheme / intrigue / plot / trick,個
機票,ㄐㄧ ㄆㄧㄠˋ,air ticket / passenger ticket,張
機械,ㄐㄧ ㄒㄧㄝˋ,machine / machinery / mechanical / (old) cunning / scheming,
及格,ㄐㄧˊ ㄍㄜˊ,to pass an exam or a test / to meet a minimum standard,
及時,ㄐㄧˊ ㄕˊ,in time / promptly / without delay / timely,
即將,ㄐㄧˊ ㄐㄧㄤ,on the eve of / to be about to / to be on the verge of,
即使,ㄐㄧˊ ㄕˇ,even if / even though,
極其,ㄐㄧˊ ㄑㄧˊ,extremely,
級,ㄐㄧˊ,"level / grade / rank / step (of stairs) / classifier: step, level",個
集,ㄐㄧˊ,to gather / to collect / collected works / classifier for sections of a TV series etc: episode,
集,ㄐㄧˊ,to gather / to collect / collected works / classifier for sections of a TV series etc: episode,
集合,ㄐㄧˊ ㄏㄜˊ,to gather / to assemble / set (math.),
集郵,ㄐㄧˊ ㄧㄡˊ,stamp collecting / philately,
集中,ㄐㄧˊ ㄓㄨㄥ,to concentrate / to centralize / to focus / centralized / concentrated / to put together,
集中,ㄐㄧˊ ㄓㄨㄥ,to concentrate / to centralize / to focus / centralized / concentrated / to put together,
疾病,ㄐㄧˊ ㄅㄧㄥˋ,disease / sickness / ailment,
急忙,ㄐㄧˊ ㄇㄤˊ,hastily,
寂寞,ㄐㄧˊ ㄇㄛˋ,lonely / lonesome / (of a place) quiet / silent,
既然,ㄐㄧˋ ㄖㄢˊ,since / as / this being the case,
技術,ㄐㄧˋ ㄕㄨˋ,technology / technique / skill,門 / 種 / 項
計算,ㄐㄧˋ ㄙㄨㄢˋ,to count / to calculate / to compute,個
計較,ㄐㄧˋ ㄐㄧㄠˋ,to bother about / to haggle / to bicker / to argue / plan / stratagem,
記性,ㄐㄧˋ ㄒㄧㄥˋ,memory (ability to retain information),
記憶,ㄐㄧˋ ㄧˋ,to remember / to recall / memory,個
記載,ㄐㄧˋ ㄗㄞˋ,to write down / to record / written account,
記住,ㄐㄧˋ ㄓㄨˋ,to remember / to bear in mind / to learn by heart,
加班,ㄐㄧㄚ ㄅㄢ,to work overtime,
加工,ㄐㄧㄚ ㄍㄨㄥ,to process / processing / working (of machinery),
加上,ㄐㄧㄚ ㄕㄤˋ,plus / to put in / to add / to add on / to add into / in addition / on top of that,
加速,ㄐㄧㄚ ㄙㄨˋ,to speed up / to expedite,
加以,ㄐㄧㄚ ㄧˇ,"in addition / moreover / (used before a disyllabic verb to indicate that the action of the verb is applied to sth or sb previously mentioned) / to apply (restrictions etc) to (sb) / to give (support, consideration etc) to (sth)",
家事,ㄐㄧㄚ ㄕˋ,family matters / domestic affairs / housework,
夾,ㄐㄧㄚˊ,Taiwan pr. used in 夾生生[jia1 sheng1] and 夾竹桃竹桃[jia1 zhu2 tao2],
甲,ㄐㄧㄚˇ,"first of the ten Heavenly Stems 十天干[shi2 tian1 gan1] / (used for an unspecified person or thing) / first (in a list, as a party to a contract etc) / letter ""A"" or roman ""I"" in list ""A, B, C"", or ""I, II, III"" etc / armor plating / shell or carapace / (of the fingers or toes) nail / bladed leather or metal armor (old) / ranking system used in the Imperial examinations (old) / civil administration unit in the baojia 保甲[bao3 jia3] system (old) / ancient Chinese compass point: 75°",
嫁,ㄐㄧㄚˋ,(of a woman) to marry / to marry off a daughter / to shift (blame etc),
駕駛,ㄐㄧㄚˋ ㄕˇ,"to pilot (ship, airplane etc) / to drive",
駕駛,ㄐㄧㄚˋ ㄕˇ,"to pilot (ship, airplane etc) / to drive",
價值,ㄐㄧㄚˋ ㄓˊ,"value / worth / fig. values (ethical, cultural etc)",個
尖,ㄐㄧㄢ,point (of needle) / sharp / shrewd / pointed,
尖銳,ㄐㄧㄢ ㄖㄨㄟˋ,sharp / intense / penetrating / pointed / acute (illness),
肩,ㄐㄧㄢ,shoulder / to shoulder (responsibilities etc),
兼,ㄐㄧㄢ,double / twice / simultaneous / holding two or more (official) posts at the same time,
間,ㄐㄧㄢ,gap / to separate / to thin out (seedlings) / to sow discontent,
堅定,ㄐㄧㄢ ㄉㄧㄥˋ,firm / steady / staunch / resolute,
堅決,ㄐㄧㄢ ㄐㄩㄝˊ,firm / resolute / determined,
監視,ㄐㄧㄢ ㄕˋ,to monitor / to keep a close watch over / surveillance,
監獄,ㄐㄧㄢ ㄩˋ,prison,
揀,ㄐㄧㄢˇ,to choose / to pick / to sort out / to pick up,
